0,579,610,234,201
1,517,611,205,202
2,431,611,210,201
3,340,611,256,202
4,263,610,329,611
5,212,611,417,610
6,204,202,506,611
7,237,203,574,611
8,304,202,607,611
9,392,203,603,611
10,485,203,561,611
11,559,202,486,202
12,605,202,400,202
13,607,611,313,202
14,568,611,244,201
15,497,611,207,202
16,408,611,208,202
17,316,610,247,201
18,245,611,321,611
19,205,611,408,611
20,209,203,496,611
21,253,202,567,611
22,328,203,605,611
23,418,202,606,612
24,509,203,568,611
25,576,202,495,203
26,610,203,408,202
27,601,611,319,203
28,551,611,249,201
29,472,611,208,202
30,381,611,207,203
31,294,611,243,202
32,231,611,310,611
33,202,611,399,610
34,218,203,486,611
35,272,202,559,611
36,352,202,604,611
37,445,202,607,611
38,530,202,547,611
39,591,202,426,202
40,608,610,296,202
41,547,611,213,202
42,425,611,212,202
43,294,610,295,202
44,212,611,425,611
45,213,202,548,610
46,297,201,610,610
47,427,202,582,610
48,550,202,480,202
49,610,202,346,202
50,582,610,238,202
51,479,611,202,203
52,345,611,254,202
53,237,611,373,610
54,202,610,504,610
55,255,202,594,611
56,374,202,604,611
57,506,202,529,611
58,595,202,402,203
59,604,611,276,202
60,528,611,207,203
61,400,610,224,202
62,275,611,319,610
63,207,611,452,611
64,224,202,565,611
65,320,201,611,610
66,454,202,568,611
67,567,202,457,202
68,611,202,324,202
69,568,610,224,202
70,452,610,206,202
71,322,611,272,201
72,224,610,396,611
73,206,202,524,610
74,274,203,602,610
75,397,201,596,610
76,526,202,508,202
77,603,202,374,202
78,595,611,256,203
79,508,611,202,203
80,374,611,236,202
81,256,611,341,610
82,203,611,475,611
83,236,202,580,610
84,344,202,610,611
85,478,202,550,610
86,581,202,430,202
87,609,202,300,202
88,550,611,215,203
89,429,611,211,203
90,299,611,292,202
91,215,611,421,610
92,212,202,543,610
93,293,202,607,611
94,423,201,585,611
95,545,202,484,202
96,609,202,350,202
97,583,611,241,202
98,483,610,203,202
99,349,611,251,202
100,240,611,365,611
101,203,610,501,611
102,252,201,593,611
103,367,202,605,610
104,502,202,533,611
105,593,202,405,202
106,605,611,280,202
107,531,610,208,202
108,404,610,222,202
109,278,610,315,610
110,207,611,447,610
111,221,201,563,611
112,317,202,610,611
113,449,202,571,610
114,563,203,461,202
115,611,202,327,202
116,570,611,227,203
117,459,610,205,202
118,327,611,270,202
119,228,611,392,610
120,205,202,521,611
121,270,202,601,610
122,394,202,598,611
123,525,202,509,202
124,602,202,382,201
125,597,611,259,202
126,511,611,202,203
127,380,610,233,202
128,258,610,337,611
129,203,610,471,611
130,234,202,578,610
131,340,202,610,611
132,473,203,555,612
133,579,202,435,203
134,610,202,303,203
